date_int,date,temp,weather,rain,rain_total,hotel
20180801,2018-08-01,30,1,0.5,1,MME
20180802,2018-08-02,31,1,0.1,1,MME
20180803,2018-08-03,31,1,0.0,0,MME
20180804,2018-08-04,32,1,0.2,1,MME
20180805,2018-08-05,32,1,0.4,1,MME
20180806,2018-08-06,30,1,0.0,0,MME
20180807,2018-08-07,30,1,2.5,2,MME
20180808,2018-08-08,29,1,0.6,1,MME
20180809,2018-08-09,29,1,10.2,2,MME
20180810,2018-08-10,26,1,0.0,0,MME
20180811,2018-08-11,27,1,0.3,1,MME
20180812,2018-08-12,29,1,0.1,1,MME
20180813,2018-08-13,27,1,1.2,2,MME
20180814,2018-08-14,26,2,0.0,0,MME
20180815,2018-08-15,27,1,0.1,1,MME
20180816,2018-08-16,27,1,1.7,2,MME
20180817,2018-08-17,26,1,0.3,1,MME
20180818,2018-08-18,27,1,0.0,0,MME
20180819,2018-08-19,29,1,0.0,0,MME
20180820,2018-08-20,30,1,0.0,0,MME
20180821,2018-08-21,29,1,0.0,0,MME
20180822,2018-08-22,29,1,0.0,0,MME
20180823,2018-08-23,29,1,0.0,0,MME
20180824,2018-08-24,27,1,4.1,2,MME
20180825,2018-08-25,23,2,0.0,0,MME
20180826,2018-08-26,24,3,0.0,0,MME
20180827,2018-08-27,26,1,0.0,0,MME
20180828,2018-08-28,28,1,0.0,0,MME
20180829,2018-08-29,27,1,3.3,2,MME
20180830,2018-08-30,26,1,1.2,2,MME
20180831,2018-08-31,26,1,1.2,2,MME
