date_int,date,temp,weather,rain,rain_total,hotel
20190201,2019-02-01,15,3,0.1,1,TAU
20190202,2019-02-02,11,3,2.8,2,TAU
20190203,2019-02-03,11,1,0.0,0,TAU
20190204,2019-02-04,11,1,0.0,0,TAU
20190205,2019-02-05,14,1,0.0,0,TAU
20190206,2019-02-06,15,1,0.0,0,TAU
20190207,2019-02-07,15,1,0.0,0,TAU
20190208,2019-02-08,14,3,0.1,1,TAU
20190209,2019-02-09,15,1,0.0,0,TAU
20190210,2019-02-10,17,3,0.0,0,TAU
20190211,2019-02-11,13,3,1.0,1,TAU
20190212,2019-02-12,15,1,0.0,0,TAU
20190213,2019-02-13,13,1,0.0,0,TAU
20190214,2019-02-14,14,1,0.0,0,TAU
20190215,2019-02-15,15,1,0.0,0,TAU
20190216,2019-02-16,15,1,0.0,0,TAU
20190217,2019-02-17,15,1,0.0,0,TAU
20190218,2019-02-18,15,1,0.0,0,TAU
20190219,2019-02-19,13,1,0.0,0,TAU
20190220,2019-02-20,13,1,0.0,0,TAU
20190221,2019-02-21,15,1,0.0,0,TAU
20190222,2019-02-22,19,1,0.0,0,TAU
20190223,2019-02-23,18,1,0.0,0,TAU
20190224,2019-02-24,15,1,0.0,0,TAU
20190225,2019-02-25,16,1,0.0,0,TAU
20190226,2019-02-26,18,1,0.0,0,TAU
20190227,2019-02-27,20,1,0.0,0,TAU
20190228,2019-02-28,18,1,0.0,0,TAU
