date_int,date,temp,weather,rain,rain_total,hotel
20191001,2019-10-01,24,1,1.0,1,TAU
20191002,2019-10-02,21,4,8.1,2,TAU
20191003,2019-10-03,21,1,0.1,1,TAU
20191004,2019-10-04,22,1,0.0,0,TAU
20191005,2019-10-05,20,2,1.1,2,TAU
20191006,2019-10-06,20,2,2.5,2,TAU
20191007,2019-10-07,21,1,1.3,2,TAU
20191008,2019-10-08,24,1,0.0,0,TAU
20191009,2019-10-09,23,3,2.8,2,TAU
20191010,2019-10-10,19,2,0.7,1,TAU
20191011,2019-10-11,23,3,0.2,1,TAU
20191012,2019-10-12,22,3,0.7,1,TAU
20191013,2019-10-13,22,3,1.0,1,TAU
20191014,2019-10-14,23,1,2.4,2,TAU
20191015,2019-10-15,19,3,2.9,2,TAU
20191016,2019-10-16,21,1,0.0,0,TAU
20191017,2019-10-17,22,1,0.0,0,TAU
20191018,2019-10-18,23,1,0.0,0,TAU
20191019,2019-10-19,23,3,1.1,2,TAU
20191020,2019-10-20,23,4,11.8,2,TAU
20191021,2019-10-21,16,4,11.9,2,TAU
20191022,2019-10-22,20,4,81.3,3,TAU
20191023,2019-10-23,19,3,27.4,3,TAU
20191024,2019-10-24,20,1,2.0,2,TAU
20191025,2019-10-25,20,1,0.0,0,TAU
20191026,2019-10-26,21,1,0.0,0,TAU
20191027,2019-10-27,21,1,0.0,0,TAU
20191028,2019-10-28,20,1,0.0,0,TAU
20191029,2019-10-29,20,1,0.0,0,TAU
20191030,2019-10-30,21,1,0.0,0,TAU
20191031,2019-10-31,19,3,0.4,1,TAU
